company_brand,founded,headquarter,sector,about_company,founders,investor,amount,series,year
Assiduus,1970,Bangalore,Business-to-Business E-commerce,"Assiduus leverages its eCommerce experience to help build, grow and scale your brand on various eCommerce platforms",Somdutta Singh,VC Firm K Partners,1000000.0,early traction,2020-01-01
Brinton,1970,San Francisco,Healthcare,Brinton is one of the fastest growing Pharmaceutical Companies spreading its network worldwide.,Rahul Darda,"India Alternatives Private Equity Fund, Tata Capital",1300000.0,others,2020-01-01
AFK Gaming,1970,Mumbai,Entertainment,AFK Gaming is a media and entertainment and gaming company located in Mumbai.,Nishant Patel,,200000.0,early traction,2020-01-01
Infarm,1970,Berlin,Agricultural Technology,Infarm builds and distributes highly efficient vertical farms throughout cities to grow fresh produce right in your neighbourhood.,"Erez Galonska, Guy Galonska, Osnat Michaeli","Bonnier Ventures, Hanaco Venture Capital",170000000.0,early traction,2020-01-01
Zuper,1970,Seattle,Software-as-a-Service,Zuper is a productivity suite for service businesses to mobile field workforce and automate all business operations.,Vijay Narasiman,"Gemba Capital, Gunderson Dettmer",1100000.0,validation,2020-01-01
mCaffeine,1970,Mumbai,"Cosmetics, Personal Care, and Beauty Products","MCaffeine is a personal care brand that offers caffein-infused face, body, and hair care products.","Tarun Sharma, Vikas Lachhwani","RPSG Ventures, Amicus Capital",2900000.0,early traction,2020-01-01
Origa,1970,Andheri,Fintech,The charioteer of your growth at all times.,Shrirang Tambe,"500 Startups, ah! Ventures",2000000.0,others,2020-01-01
GullyBuy Software,1970,Pune,Technology Startup,To deliver a solution that will provide shopping convenience to every consumer in India,Shirish Deodhar,,543000.0,early traction,2020-01-01
Recordent,1970,Hyderabad,Fintech,A technology-enabled platform that helps MSMEs to increase their business efficiency through collection of dues,Harish Mamtani,,0.0,validation,2020-01-01
MPL,1970,Bangalore,Entertainment,Mobile Premier League is the mobile e-Sports platform based in India.,"Shubham Malhotra, Sai Srinivas","Base Partners, GO Ventures",90000000.0,early traction,2020-01-01
Penny,1970,iyadh,Software-as-a-Service,Offer various development solutions and mainly focus on helping startups,"Iyad Aldalooj, Majid Aldalooj, Mohammed Ibrahim",,1300000.0,validation,2020-01-01
Onsitego,1970,Mumbai,Customer service company,Onsitego is a customer service company for device and appliance repairs.,Kunal Mahipal,"Accel, Zodius Capital",30000000.0,early traction,2020-01-01
Precily,1970,San Francisco,Software-as-a-Service,Precily is Artificial Intelligence platform for enterprises that increases efficiency of workforce by providing AI based solutions.,Bharath Rao,"Windrose Capital, Anil Advani",0.0,validation,2020-01-01
SmartClean,1970,Singapore,Technology Startup,SmartClean Technologies is an AI company that offers data-driven cleaning operations designed for facilities.,"Abhishek Mishra, Kush Agarwal, Lav Agarwal, Stella Hu","Seeds Capital, AIM Smart City",3400000.0,early traction,2020-01-01
ClanConnect,1970,Delhi,Marketing and Advertising,"AI-driven influencer marketing platform ClanConnect.ai, which helps brands make their campaigns more data and result-oriented","Kunal Kishore Sinha, Sagar Pushp",,600000.0,validation,2020-01-01
Servify,1970,Mumbai,Service industry,Servify is a self-learning platform that provides device management services and warranty solutions.,Sreevathsa Prabhakar,"Blume Ventures, Tetrao",23000000.0,early traction,2020-01-01
ShareChat,1970,Bangalore,Social Media,ShareChat is a social networking and regional content platform.,"Ankush Sachdeva, Bhanu Pratap Singh, Bhanu Singh, Farid Ahsan","Lightspeed venture partners, saif partners",40000000.0,early traction,2020-01-01
Rephrase.ai,1970,Bangalore,AI,Rephrase.ai helps in creating high-quality videos and animations through an AI-powered visual dubbing tool.,"Ashray Malhotra, Nisheeth Lahoti, Shivam Mangla","Techstars Bangalore Accelerator, Techstars",1500000.0,validation,2020-01-01
Melorra,1970,Bangalore,Jewellery,"Buy Latest Gold, Diamond & Gemstone Jewellery Designs Online Rings, Earrings, Necklace","Saroja Yeramilli, R Krishnakumar","Shadows Holdings, Lightbox",8090000.0,others,2020-01-01
FabHotels,1970,Gurgaon,Hospitality,FabHotels is a network of 3 star budget hotels in India,"Adarsh Manpuria, Vaibhav Aggarwal","RB Investments Pte. Ltd, Goldman Sachs",1030000.0,early traction,2020-01-01
